delivery_person_id,delivery_person_age
ALHRES07DEL01,22
AURGRES13DEL02,24
AURGRES12DEL01,34
LUDHRES010DEL01,29
KOLRES010DEL01,25
KOLRES15DEL03,29
BHPRES18DEL02,27
BHPRES05DEL01,21
KOCRES03DEL03,28
AGRRES12DEL02,26
AGRRES17DEL03,24
KNPRES20DEL02,31
KNPRES05DEL03,24
KNPRES11DEL01,35
KOCRES010DEL03,22
KOCRES11DEL02,33
KOLRES17DEL03,22
BHPRES03DEL01,26
LUDHRES14DEL03,27
KOLRES06DEL03,37
AURGRES19DEL03,34
KOLRES16DEL02,26
KOCRES010DEL01,25
KOCRES15DEL03,35
GOARES06DEL03,25
LUDHRES19DEL03,30
ALHRES19DEL03,20
BHPRES13DEL02,34
LUDHRES12DEL02,32
LUDHRES06DEL02,27
DEHRES14DEL01,36
KNPRES16DEL02,36
LUDHRES19DEL01,35
KOLRES12DEL01,28
DEHRES010DEL02,28
BHPRES20DEL02,22
KNPRES03DEL01,23
GOARES03DEL03,26
KNPRES04DEL01,22
KOLRES18DEL01,33
GOARES12DEL03,24
DEHRES09DEL01,36
LUDHRES19DEL02,35
AURGRES12DEL01,20
LUDHRES16DEL03,22
GOARES06DEL02,22
BHPRES13DEL03,20
GOARES01DEL03,31
KOCRES14DEL01,36
DEHRES010DEL01,25
LUDHRES010DEL02,24
LUDHRES09DEL01,32
LUDHRES20DEL01,39
AGRRES05DEL01,27
KOCRES09DEL01,23
AGRRES01DEL03,37
KOCRES14DEL01,21
BHPRES010DEL02,38
KOCRES16DEL03,30
AURGRES09DEL03,35
KOCRES15DEL02,28
KOLRES16DEL03,37
DEHRES09DEL03,37
GOARES01DEL02,39
KOLRES11DEL03,23
GOARES15DEL03,31
GOARES09DEL01,26
GOARES02DEL01,35
ALHRES19DEL01,37
AGRRES04DEL03,22
KOLRES03DEL02,24
LUDHRES06DEL03,34
AGRRES08DEL03,34
LUDHRES13DEL01,20
AGRRES18DEL02,32
GOARES15DEL02,35
LUDHRES010DEL03,39
GOARES01DEL03,29
KNPRES09DEL01,39
KNPRES07DEL02,30
AGRRES18DEL01,35
KOLRES08DEL01,36
KNPRES010DEL03,32
AURGRES08DEL01,21
BHPRES16DEL03,31
KOLRES12DEL01,35
AURGRES09DEL02,21
DEHRES13DEL03,31
AURGRES09DEL02,36
KOLRES07DEL01,32
KOLRES03DEL03,37
KNPRES09DEL03,36
GOARES11DEL03,25
KOLRES20DEL03,24
LUDHRES20DEL03,24
DEHRES14DEL03,29
LUDHRES17DEL02,29
KNPRES02DEL03,27
LUDHRES03DEL01,36
ALHRES01DEL02,26
BHPRES08DEL02,38
GOARES09DEL03,28
GOARES18DEL02,34
KOCRES16DEL02,21
BHPRES01DEL03,33
KNPRES11DEL01,34
ALHRES15DEL01,34
KNPRES11DEL03,35
GOARES02DEL03,23
KOLRES02DEL01,23
KOCRES15DEL01,37
AURGRES09DEL01,38
GOARES06DEL03,31
KOLRES07DEL02,20
DEHRES03DEL03,37
LUDHRES08DEL01,28
ALHRES15DEL02,31
GOARES16DEL02,29
KNPRES02DEL01,35
KNPRES13DEL01,23
ALHRES07DEL03,24
KOLRES05DEL03,33
AURGRES05DEL03,39
KNPRES13DEL02,29
KOLRES09DEL03,30
KNPRES20DEL02,21
KOLRES20DEL03,32
KOLRES02DEL03,39
BHPRES05DEL03,37
KNPRES02DEL02,28
GOARES12DEL01,29
LUDHRES13DEL03,26
KNPRES19DEL03,37
AURGRES010DEL03,23
LUDHRES18DEL03,20
KNPRES13DEL01,27
KOLRES03DEL03,33
AGRRES08DEL02,34
BHPRES03DEL03,25
ALHRES03DEL02,26
AGRRES05DEL02,36
ALHRES20DEL03,22
AURGRES03DEL02,33
BHPRES17DEL02,30
DEHRES13DEL02,29
KOLRES06DEL01,39
GOARES08DEL01,20
GOARES09DEL02,29
LUDHRES12DEL03,36
GOARES18DEL01,20
BHPRES18DEL03,26
KOLRES14DEL02,36
KNPRES09DEL02,20
KOCRES03DEL01,39
DEHRES14DEL02,39
BHPRES03DEL03,39
KNPRES16DEL03,22
AURGRES03DEL01,34
GOARES18DEL03,21
KOCRES09DEL01,21
DEHRES06DEL01,30
LUDHRES01DEL03,28
BHPRES17DEL03,26
KOLRES07DEL02,38
KOCRES11DEL03,34
AURGRES06DEL02,22
ALHRES14DEL02,28
DEHRES19DEL01,38
AURGRES03DEL01,27
KOLRES07DEL03,22
ALHRES07DEL02,30
BHPRES18DEL01,25
AGRRES13DEL01,28
AURGRES15DEL03,36
AGRRES12DEL02,34
LUDHRES11DEL02,25
LUDHRES18DEL02,33
AURGRES010DEL02,34
KNPRES05DEL02,33
KNPRES02DEL01,23
AGRRES07DEL01,34
LUDHRES14DEL01,24
LUDHRES05DEL01,25
AGRRES010DEL03,30
KOCRES11DEL01,38
KOCRES02DEL03,29
AURGRES07DEL02,29
KOLRES13DEL03,20
LUDHRES05DEL02,36
DEHRES07DEL01,37
BHPRES11DEL01,25
AGRRES13DEL02,36
AURGRES05DEL01,39
ALHRES08DEL01,32
BHPRES06DEL02,32
DEHRES06DEL02,23
LUDHRES01DEL01,32
AGRRES05DEL01,28
KOCRES02DEL01,33
GOARES17DEL03,38
ALHRES03DEL01,23
AURGRES04DEL03,36
GOARES010DEL02,20
KOLRES13DEL03,33
LUDHRES04DEL03,21
AURGRES03DEL03,36
AGRRES20DEL01,21
DEHRES03DEL02,34
LUDHRES16DEL02,32
KOLRES17DEL02,37
DEHRES04DEL02,38
KOLRES03DEL01,20
AURGRES13DEL01,21
LUDHRES09DEL02,24
AGRRES11DEL02,34
KOLRES12DEL02,34
KOLRES01DEL02,38
ALHRES17DEL01,24
ALHRES08DEL03,26
KOLRES19DEL01,29
AURGRES13DEL01,35
KOLRES09DEL03,27
AURGRES13DEL03,30
BHPRES03DEL02,34
KNPRES07DEL03,37
LUDHRES04DEL01,24
BHPRES010DEL03,28
ALHRES12DEL01,37
LUDHRES14DEL03,37
KNPRES17DEL02,30
KOLRES16DEL03,24
KNPRES010DEL02,26
AURGRES08DEL02,33
GOARES17DEL01,34
AURGRES18DEL02,23
DEHRES17DEL02,33
KNPRES19DEL02,32
LUDHRES03DEL03,39
AURGRES01DEL02,35
KOLRES20DEL01,35
BHPRES06DEL03,20
GOARES16DEL01,22
DEHRES05DEL03,33
GOARES16DEL03,35
AURGRES09DEL03,38
LUDHRES17DEL01,37
DEHRES06DEL03,26
KOLRES19DEL03,33
LUDHRES20DEL02,30
GOARES03DEL02,29
AGRRES17DEL01,23
KNPRES01DEL03,28
KOLRES15DEL03,21
KNPRES13DEL03,34
GOARES03DEL01,31
BHPRES20DEL02,28
ALHRES17DEL03,39
AGRRES13DEL03,33
KOLRES07DEL01,20
