order_id,delivery_person_id,restaurant_id,delivery_location_id,delivery_location_latitude,delivery_location_longitude
0xc47e,ALHRES07DEL01,1,1,25.459659,81.849744
0xcff9,AURGRES13DEL02,2,2,19.930256,75.373503
0xdef0,AURGRES12DEL01,3,3,19.919631,75.363403
0xbfcc,LUDHRES010DEL01,4,4,30.93286,75.862199
0xca87,KOLRES010DEL01,5,5,22.548999,88.332337
0xc6f3,KOLRES15DEL03,6,6,22.582672,88.382885
0xdcbf,BHPRES18DEL02,7,7,23.284631,77.451663
0xc739,BHPRES05DEL01,8,8,23.254459,77.474976
0xd4a2,KOCRES03DEL03,9,9,10.050683,76.340631
0xd0bb,AGRRES12DEL02,10,10,27.215108,78.065053
0xc83f,AGRRES17DEL03,11,11,27.217772,78.10725
0xcd05,KNPRES20DEL02,12,12,26.49,80.37
0xd13f,KNPRES05DEL03,13,13,26.539108,80.375042
0xcc86,KNPRES11DEL01,14,14,26.514986,80.382796
0xd7fb,KOCRES010DEL03,15,15,10.095573,76.396958
0xcf23,KOCRES11DEL02,16,16,10.026881,76.365397
0xc633,KOLRES17DEL03,17,17,22.629358,88.493452
0xe1c7,BHPRES03DEL01,18,18,23.224294,77.445361
0xc54c,LUDHRES14DEL03,19,19,30.952978,75.881847
0xd9ab,KOLRES06DEL03,20,20,22.593662,88.426217
0xcd46,AURGRES19DEL03,21,21,19.926969,75.378894
0xca7d,KOLRES16DEL02,22,22,22.589129,88.415507
0xc777,KOCRES010DEL01,15,23,10.045573,76.346958
0xcf54,KOCRES15DEL03,23,24,10.057364,76.338258
0xd42b,GOARES06DEL03,24,25,15.62155,73.809092
0xc52b,LUDHRES19DEL03,25,26,30.932872,75.856808
0xd3ca,ALHRES19DEL03,26,27,25.487116,81.889682
0xe038,BHPRES13DEL02,27,28,23.250791,77.45702
0xd247,LUDHRES12DEL02,28,29,30.943244,75.871817
0xda87,LUDHRES06DEL02,29,30,30.915204,75.842103
0xc683,DEHRES14DEL01,30,31,30.359528,78.080267
0xe152,KNPRES16DEL02,31,32,26.532581,80.365628
0xdb21,LUDHRES19DEL01,25,33,30.912872,75.836808
0xcdf3,KOLRES12DEL01,32,34,22.561084,88.364127
0xe140,DEHRES010DEL02,33,35,30.348174,78.069117
0xcb2e,BHPRES20DEL02,34,36,23.285123,77.448886
0xdaee,KNPRES03DEL01,35,37,26.509003,80.356344
0xd65a,GOARES03DEL03,36,38,15.604828,73.796883
0xd11f,KNPRES04DEL01,37,39,26.481529,80.323458
0xc678,KOLRES18DEL01,38,40,22.579367,88.443187
0xd6b2,GOARES12DEL03,39,41,15.546833,73.798172
0xc597,DEHRES09DEL01,40,42,30.372735,78.094222
0xd56a,LUDHRES19DEL02,25,43,30.922872,75.846808
0xd63f,AURGRES12DEL01,3,44,19.889631,75.333403
0xe15c,LUDHRES16DEL03,41,45,30.925817,75.843112
0xd1a9,GOARES06DEL02,24,46,15.61155,73.799092
0xdb6c,BHPRES13DEL03,27,47,23.290791,77.49702
0xd345,GOARES01DEL03,42,48,15.636683,73.81575
0xcded,KOCRES14DEL01,43,49,10.067014,76.348053
0xd6fa,DEHRES010DEL01,33,50,30.368174,78.089117
0xcf17,LUDHRES010DEL02,4,51,30.91286,75.842199
0xdc13,LUDHRES09DEL01,44,52,30.895814,75.796976
0xe06a,LUDHRES20DEL01,45,53,30.895915,75.798259
0xcb45,AGRRES05DEL01,46,54,27.211725,78.017553
0xdcde,KOCRES09DEL01,47,55,10.040706,76.389516
0xda92,AGRRES01DEL03,48,56,27.191661,78.041544
0xcd9a,KOCRES14DEL01,43,57,10.037014,76.318053
0xcc4c,BHPRES010DEL02,49,58,23.286261,77.399605
0xdec8,KOCRES16DEL03,50,59,10.033064,76.337589
0xe098,AURGRES09DEL03,51,60,19.904103,75.398419
0xdfce,KOCRES15DEL02,23,61,10.047364,76.328258
0xd2a9,KOLRES16DEL03,22,62,22.569129,88.395507
0xcdd7,DEHRES09DEL03,40,63,30.362735,78.084222
0xd81a,GOARES01DEL02,42,64,15.626683,73.80575
0xc56e,KOLRES11DEL03,52,65,22.607821,88.430581
0xd787,GOARES15DEL03,53,66,15.54315,73.81346
0xc7cd,GOARES09DEL01,54,67,15.343897,73.954336
0xd926,GOARES02DEL01,55,68,15.625658,73.783606
0xd382,ALHRES19DEL01,26,69,25.467116,81.869682
0xcb2b,AGRRES04DEL03,56,70,27.225928,78.028092
0xdd27,KOLRES03DEL02,57,71,22.546461,88.384453
0xcfed,LUDHRES06DEL03,29,72,30.925204,75.852103
0xd976,AGRRES08DEL03,58,73,27.190934,78.074095
0xc8cf,LUDHRES13DEL01,59,74,30.903234,75.83172
0xdffc,AGRRES18DEL02,60,75,27.211694,78.084714
0xdede,GOARES15DEL02,53,76,15.53315,73.80346
0xd06f,LUDHRES010DEL03,4,77,30.92286,75.852199
0xc325,GOARES01DEL03,42,78,15.606683,73.78575
0xc156,KNPRES09DEL01,61,79,26.513698,80.392677
0xcc24,KNPRES07DEL02,62,80,26.522001,80.404002
0xd8aa,AGRRES18DEL01,60,81,27.171694,78.044714
0xdd4d,KOLRES08DEL01,63,82,22.57796,88.389843
0xdd9b,KNPRES010DEL03,64,83,26.53775,80.411569
0xcce1,AURGRES08DEL01,65,84,19.916428,75.404792
0xe188,BHPRES16DEL03,66,85,23.294015,77.438236
0xcbce,KOLRES12DEL01,32,86,22.591084,88.394127
0xc499,AURGRES09DEL02,51,87,19.924103,75.418419
0xcc66,DEHRES13DEL03,67,88,30.426322,78.130453
0xc502,AURGRES09DEL02,51,89,19.894103,75.388419
0xd16b,KOLRES07DEL01,68,90,22.557186,88.36068
0xc4c0,KOLRES03DEL03,57,91,22.586461,88.424453
0xd861,KNPRES09DEL03,61,92,26.503698,80.382677
0xdd99,GOARES11DEL03,69,93,15.604419,73.815736
0xddba,KOLRES20DEL03,70,94,22.544119,88.392504
0xd9c6,LUDHRES20DEL03,45,95,30.915915,75.818259
0xe10f,DEHRES14DEL03,30,96,30.349528,78.070267
0xc5d7,LUDHRES17DEL02,71,97,30.943384,75.871202
0xd286,KNPRES02DEL03,72,98,26.501617,80.343564
0xca73,LUDHRES03DEL01,73,99,30.92722,75.844893
0xd426,ALHRES01DEL02,74,100,25.474648,81.854502
0xd70b,BHPRES08DEL02,75,101,23.282537,77.479845
0xccc5,GOARES09DEL03,54,102,15.333897,73.944336
0xde79,GOARES18DEL02,76,103,15.54395,73.877423
0xd0f8,KOCRES16DEL02,50,104,10.053064,76.357589
0xd9d8,BHPRES01DEL03,77,105,23.271529,77.479399
0xd62d,KNPRES11DEL01,14,106,26.484986,80.352796
0xc6cf,ALHRES15DEL01,78,107,25.459872,81.846167
0xc70e,KNPRES11DEL03,14,108,26.534986,80.402796
0xcc52,GOARES02DEL03,55,109,15.615658,73.773606
0xc61d,KOLRES02DEL01,79,110,22.524585,88.40331
0xbfc9,KOCRES15DEL01,23,111,10.067364,76.348258
0xd78a,AURGRES09DEL01,51,112,19.884103,75.378419
0xd755,GOARES06DEL03,24,113,15.59155,73.779092
0xd63d,KOLRES07DEL02,68,114,22.567186,88.37068
0xc808,GOARES02DEL01,55,115,15.595658,73.753606
0xe02f,DEHRES03DEL03,80,116,30.395259,78.113162
0xd45a,LUDHRES08DEL01,81,117,30.939992,75.871338
0xe27f,ALHRES15DEL02,78,118,25.499872,81.886167
0xdaf8,GOARES16DEL02,82,119,15.518603,73.846911
0xd764,KNPRES02DEL01,72,120,26.511617,80.353564
0xd5df,KNPRES13DEL01,83,121,26.521547,80.339775
0xcac2,ALHRES07DEL03,1,122,25.509659,81.899744
0xd2d6,KOLRES05DEL03,84,123,22.587893,88.428628
0xcf63,AURGRES05DEL03,85,124,19.905522,75.397127
0xd4d9,KNPRES13DEL02,83,125,26.501547,80.319775
0xd129,KOLRES09DEL03,86,126,22.575082,88.42783
0xc95f,KNPRES20DEL02,12,127,26.52,80.4
0xdff5,KOLRES20DEL03,70,128,22.574119,88.422504
0xd5b0,KOLRES02DEL03,79,129,22.574585,88.45331
0xe14a,BHPRES05DEL03,8,130,23.274459,77.494976
0xc960,KNPRES02DEL02,72,131,26.521617,80.363564
0xd469,GOARES12DEL01,39,132,15.526833,73.778172
0xd2e5,LUDHRES13DEL03,59,133,30.953234,75.88172
0xdfa1,KNPRES19DEL03,87,134,26.55095,80.378656
