restaurant_id,restaurant_latitude,restaurant_longitude,total_orders,city_label
1,25.449659,81.839744,40,0
2,19.880256,75.323503,27,1
3,19.879631,75.323403,28,1
4,30.89286,75.822199,35,2
5,22.538999,88.322337,29,3
6,22.552672,88.352885,29,3
7,23.234631,77.401663,29,4
8,23.214459,77.434976,34,4
9,10.020683,76.310631,30,5
10,27.165108,78.015053,37,6
11,27.157772,78.04725,38,6
12,26.47,80.35,33,7
13,26.479108,80.315042,30,7
14,26.474986,80.342796,35,7
15,10.035573,76.336958,29,5
16,10.006881,76.345397,35,5
17,22.569358,88.433452,32,3
18,23.214294,77.435361,35,4
19,30.892978,75.821847,32,2
20,22.533662,88.366217,32,3
21,19.866969,75.318894,31,1
22,22.539129,88.365507,32,3
23,10.027364,76.308258,33,5
24,15.56155,73.749092,30,8
25,30.902872,75.826808,27,2
26,25.457116,81.859682,33,0
27,23.230791,77.43702,31,4
28,30.893244,75.821817,34,2
29,30.895204,75.822103,37,2
30,30.319528,78.040267,30,9
31,26.482581,80.315628,36,7
32,22.551084,88.354127,33,3
33,30.328174,78.049117,39,9
34,23.235123,77.398886,27,4
35,26.469003,80.316344,32,7
36,15.574828,73.766883,29,8
37,26.471529,80.313458,33,7
38,22.569367,88.433187,34,3
39,15.516833,73.768172,32,8
40,30.332735,78.054222,39,9
41,30.895817,75.813112,31,2
42,15.576683,73.75575,29,8
43,10.027014,76.308053,32,5
44,30.885814,75.786976,33,2
45,30.885915,75.788259,35,2
46,27.201725,78.007553,35,6
47,10.000706,76.349516,28,5
48,27.161661,78.011544,37,6
49,23.266261,77.379605,29,4
50,10.003064,76.307589,25,5
51,19.874103,75.368419,29,1
52,22.577821,88.400581,28,3
53,15.51315,73.78346,30,8
54,15.303897,73.914336,37,8
55,15.585658,73.743606,29,8
56,27.195928,77.998092,35,6
57,22.526461,88.364453,31,3
58,27.160934,78.044095,76,6
59,30.893234,75.82172,37,2
60,27.161694,78.034714,39,6
61,26.473698,80.352677,35,7
62,26.472001,80.354002,30,7
63,22.53796,88.349843,29,3
64,26.47775,80.351569,34,7
65,19.876428,75.364792,32,1
66,23.264015,77.408236,31,4
67,30.366322,78.070453,25,9
68,22.547186,88.35068,27,3
69,15.544419,73.755736,29,8
70,22.514119,88.362504,30,3
71,30.893384,75.821202,35,2
72,26.471617,80.313564,36,7
73,30.88722,75.804893,33,2
74,25.454648,81.834502,29,0
75,23.232537,77.429845,31,4
76,15.49395,73.827423,33,8
77,23.211529,77.419399,31,4
78,25.449872,81.836167,34,0
79,22.514585,88.39331,32,3
80,30.335259,78.053162,33,9
81,30.899992,75.831338,36,2
82,15.498603,73.826911,28,8
83,26.481547,80.299775,33,7
84,22.527893,88.368628,34,3
85,19.875522,75.367127,32,1
86,22.515082,88.36783,29,3
87,26.49095,80.318656,34,7
88,19.875337,75.316722,29,1
89,30.890184,75.829615,33,2
90,25.451517,81.832616,32,0
91,25.454697,81.834492,38,0
92,19.874733,75.353942,31,1
93,23.218998,77.373573,28,4
94,15.556561,73.763633,30,8
95,22.552996,88.35231,33,3
96,30.361281,78.068022,37,9
97,30.873988,75.842739,27,2
98,19.874449,75.360232,28,1
99,25.459775,81.834841,43,0
100,30.372202,78.077151,31,9
101,27.159795,78.04299,35,6
102,19.878028,75.317475,29,1
103,30.893081,75.821495,40,2
104,30.905562,75.832841,34,2
105,27.163303,78.057044,72,6
106,10.028047,76.310019,33,5
107,19.875908,75.358888,29,1
108,22.553227,88.353273,29,3
109,30.362686,78.06889,37,9
110,23.233219,77.433571,30,4
111,25.450329,81.834279,35,0
112,23.232357,77.429989,32,4
113,15.496162,73.825364,38,8
114,19.876106,75.340775,31,1
115,15.546594,73.760431,28,8
116,30.914057,75.83982,36,2
117,27.158822,78.045359,35,6
118,30.340722,78.060221,36,9
119,22.514688,88.393294,36,3
120,25.45235,81.841889,38,0
121,22.5491,88.400467,30,3
122,25.443994,81.860187,31,0
123,26.483042,80.317833,35,7
124,19.888716,75.321461,30,1
125,30.327968,78.046106,29,9
126,19.876219,75.346017,31,1
127,30.346994,78.062543,31,9
128,26.483672,80.320708,32,7
129,30.342509,78.061187,33,9
130,25.457687,81.835585,35,0
131,25.450377,81.834236,26,0
132,26.482419,80.320939,30,7
133,15.561295,73.749478,34,8
134,19.876994,75.372353,29,1
135,15.506205,73.766668,30,8
136,30.899584,75.809346,39,2
137,25.451646,81.832796,27,0
138,27.16185,78.040165,32,6
139,15.157944,73.950889,29,8
140,23.234249,77.434007,25,4
141,27.160832,78.011608,34,6
142,22.538731,88.364878,32,3
143,19.875016,75.322405,37,1
144,23.184992,77.417227,28,4
145,25.450317,81.831681,34,0
146,26.474133,80.3481,29,7
147,26.463504,80.372929,34,7
148,25.453436,81.833167,27,0
149,26.492106,80.327797,34,7
150,15.5696,73.742294,32,8
151,30.359722,78.067079,30,9
152,26.905287,75.794592,157,10
153,17.422819,78.449578,148,11
154,17.451976,78.385883,140,11
155,11.010375,76.95295,142,12
156,22.31279,73.170283,141,13
157,21.173493,72.801953,150,14
158,13.054347,80.257221,138,15
159,26.90519,75.810753,145,10
160,12.906229,77.596791,133,16
161,26.846156,75.8023,153,10
162,21.170798,72.790489,130,14
163,22.32,73.17,149,13
164,22.308096,73.167753,156,13
165,12.323994,76.626167,143,17
166,18.53408,73.89852,145,18
167,19.178321,72.834715,143,19
168,23.39925,85.390464,146,20
169,21.17106,72.789292,152,14
170,22.311844,73.165081,145,13
171,22.725835,75.887648,145,21
172,21.175975,72.795503,145,14
173,11.016298,76.972076,137,12
174,22.727021,75.884167,142,21
175,18.569156,73.774723,151,18
176,18.536718,73.830327,138,18
177,11.02091,76.940432,144,12
178,22.74806,75.8934,141,21
179,17.431477,78.40035,153,11
180,18.533811,73.899315,151,18
