order_id,order_rating,order_date,time_ordered,time_order_picked,weather_conditions,road_traffic_density,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,time_taken_min
0xc47e,4.1,2022-02-11,09:45,09:50,Windy,Low,0,Meal,motorcycle,0.0,No,16
0xcff9,5.0,2022-02-11,17:45,17:50,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,15
0xdef0,4.8,2022-02-11,16:15,16:20,Windy,Medium,1,Snack,motorcycle,1.0,No,34
0xbfcc,4.7,2022-02-11,15:40,15:50,Fog,Medium,2,Drinks,electric_scooter,0.0,No,17
0xca87,4.8,2022-02-11,11:10,11:25,Stormy,High,2,Meal,motorcycle,0.0,No,20
0xc6f3,4.7,2022-02-11,22:50,22:55,Cloudy,Low,2,Buffet,scooter,0.0,No,16
0xdcbf,4.7,2022-02-11,21:10,21:25,Sandstorms,Jam,2,Meal,scooter,0.0,No,28
0xc739,4.9,2022-02-11,0.541666667,13:15,Windy,High,2,Meal,scooter,1.0,No,16
0xd4a2,4.9,2022-02-11,18:50,0.791666667,Stormy,Medium,1,Snack,scooter,0.0,No,21
0xd0bb,4.6,2022-02-11,21:10,21:25,Fog,Jam,2,Buffet,electric_scooter,0.0,No,30
0xc83f,5.0,2022-02-11,18:15,18:30,Cloudy,Medium,1,Meal,motorcycle,1.0,No,10
0xcd05,4.5,2022-02-11,0.458333333,11:15,Fog,Low,1,Meal,motorcycle,0.0,No,19
0xd13f,4.8,2022-02-11,21:50,0.916666667,Fog,Jam,1,Snack,scooter,1.0,No,30
0xcc86,4.3,2022-02-11,16:15,16:30,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,33
0xd7fb,5.0,2022-02-11,20:30,20:40,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,30
0xcf23,4.7,2022-02-11,11:20,11:30,Windy,High,1,Buffet,scooter,1.0,No,27
0xc633,4.6,2022-02-11,22:10,22:25,Cloudy,Low,0,Snack,motorcycle,0.0,No,23
0xe1c7,4.8,2022-02-11,0.5,12:10,Stormy,High,0,Buffet,motorcycle,1.0,No,37
0xc54c,4.8,2022-02-11,22:35,22:40,Cloudy,Low,1,Buffet,motorcycle,0.0,No,11
0xd9ab,4.8,2022-02-11,17:25,17:40,Sunny,Medium,0,Buffet,motorcycle,0.0,No,22
0xcd46,5.0,2022-02-11,19:35,19:40,Windy,Jam,0,Snack,motorcycle,1.0,No,31
0xca7d,4.9,2022-02-11,18:15,18:20,Windy,Medium,1,Snack,motorcycle,1.0,No,24
0xc777,4.8,2022-02-11,10:15,10:25,Cloudy,Low,2,Drinks,motorcycle,1.0,No,19
0xcf54,4.7,2022-02-11,23:50,1,Sunny,Low,0,Buffet,motorcycle,0.0,No,21
0xd42b,4.6,2022-02-11,23:45,23:50,Cloudy,Low,1,Buffet,scooter,1.0,No,15
0xc52b,4.6,2022-02-11,19:10,19:15,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,25
0xd3ca,4.5,2022-02-11,0.75,18:05,Fog,Medium,2,Meal,motorcycle,0.0,No,13
0xe038,4.9,2022-02-11,08:55,09:10,Sandstorms,Low,2,Snack,scooter,0.0,No,22
0xd247,4.9,2022-02-11,21:20,21:25,Sunny,Jam,1,Meal,scooter,1.0,No,16
0xda87,4.9,2022-02-11,08:25,08:30,Sandstorms,Low,2,Buffet,electric_scooter,1.0,No,14
0xc683,4.8,2022-02-11,14:30,14:35,Fog,High,1,Snack,motorcycle,1.0,No,30
0xe152,4.8,2022-02-11,22:45,22:50,Sandstorms,Low,1,Meal,motorcycle,1.0,No,21
0xdb21,4.5,2022-02-11,09:45,09:55,Sandstorms,Low,2,Drinks,scooter,1.0,No,27
0xcdf3,4.9,2022-02-11,08:40,08:55,Sunny,Low,1,Meal,scooter,1.0,No,20
